,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year
,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
품종별,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
삼치류,5276,6584,8694,6847,10727,5241,5355,6767,10030,12166,17511,13960,10677,16224,21603,10265,20678,23974,26737,16325,16700,24285,7925,13927,8667,17429,6419,11173,22809,19502,25641,25513,25956,22608,26622,33794,36484,42199,40809,36793,35778,29294,33377,29394,29537,37872,35886,38306,32089,37841,32949,30950,35655,45692
상어류,8580,6672,7087,7310,6818,6327,6097,4404,5015,3985,3831,3495,4567,4233,3082,3084,3310,2807,2822,2374,1866,1648,1691,5253,1512,871,785,565,503,449,262,389,243,213,172,259,208,227,245,341,525,345,313,332,294,267,223,177,184,197,208,233,210,201
서대류,2568,2945,2703,3078,3000,4553,4625,4174,4023,3741,3876,4516,4693,5080,6388,7369,6838,6627,4505,3041,3432,2585,2366,2690,2498,1944,1644,1289,654,836,1148,1013,585,730,803,1396,1887,1979,1478,1430,1477,1501,1352,1157,1390,1340,1400,1682,1891,2038,2246,2016,1493,1600
성대류,273,98,26,47,399,132,220,219,101,287,308,486,141,216,104,40,62,75,31,34,135,146,58,141,70,40,75,86,146,43,79,140,260,225,302,375,888,729,1135,728,979,1063,1584,1564,1661,1418,1246,1297,1506,1660,2379,1801,1642,1393
송어류,83,226,382,368,206,131,53,80,59,65,128,2727,1107,2122,2605,2353,2767,1372,1533,1197,661,1019,1477,1269,1144,1195,1343,522,964,421,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,11,23,12,5,0,0,0,1,0
쏨뱅이,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,125,52,68,58,161,186,92,92,149,111,123,148,129,143,186,223,256,-,-,-,-,-,-,-,-,-,-,-,-,-,-
삼세기,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,491,321,383,229,253,873,594,695,523,516,510,528,478,492,309,369,278,264,297
숭어류,2742,2295,1969,2169,2394,3100,3300,4885,4008,4569,5479,4832,4787,7886,6192,9024,7728,5841,5863,3977,2522,2955,3087,5895,4896,4282,4200,5564,4962,9678,8730,9784,8887,7877,8023,9774,8835,11312,8248,6178,6587,6912,4752,3168,2944,3142,2057,2000,4961,5293,4114,4484,4888,3872
아귀류,-,-,-,-,-,-,4470,3863,3334,2501,2815,2581,2942,4646,6338,9624,10870,7023,8172,5199,8759,8206,7681,6312,5064,8173,11720,5045,3970,3406,4930,5813,9500,10486,11885,11448,12226,14417,17931,14961,13104,15808,12090,11686,12903,11888,13838,15335,13448,18458,13448,16854,13111,11885
까나리,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4801,4806,16293,4803,5145,2419,223,1160,1546,1631,6702,2380,13557,7439,4261,3503,2577,2110,7265,7024,7048,14252,13196,17776,21049,6377
양미리,7038,497,2434,4626,4450,2597,3232,5098,5303,7917,4571,10782,10569,24048,9010,4697,6155,5281,4546,3271,7310,7969,7922,9632,9466,9677,6613,8832,-,-,-,462,7,1047,2419,3925,4197,3682,4033,3503,0,-,-,-,157,-,-,-,-,-,-,-,-,-
양태류,1622,1036,1425,1599,1352,2893,2211,2707,1652,1139,2517,2226,3044,3491,4299,4245,4357,2939,3338,3973,3598,3345,2839,3489,3036,2520,2900,4196,2857,2248,2310,1699,1199,1495,1477,1738,1948,1790,2082,2220,2215,2331,1894,1749,1685,1984,1795,2146,2064,1901,1381,1516,1528,1481
연어,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,22,66,71,260,102,111,56,57,28,19,33,42,16,15,37,102,186,25,177,60,47,132,316,404,195,143,202,96,99,158,113,83
임연수어,-,-,-,-,1001,4340,609,3488,3512,1073,1170,1522,8011,1600,2604,2789,2477,7855,4192,4231,5315,4571,2651,5839,3528,2848,3683,1880,7911,1005,2554,1261,627,3083,772,1048,1294,1266,758,191,1470,81,551,1136,1125,1448,3507,172,740,2226,629,3415,2250,1105
갯장어,2732,2789,4242,5082,5562,8385,6161,8758,9852,6228,5289,6714,9179,8046,8405,5395,5040,5591,4209,3082,2349,2823,2453,3760,2243,1604,1411,2518,1506,1900,1862,1080,883,800,766,810,672,1071,1306,1650,1358,1219,1341,862,1272,1402,1378,1081,984,993,1168,1226,1360,944
먹장어,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,148,45,19,49,6,12,0,1,3,0,63,58,11,15,29,37,18,15,23,43,25,61,80,82,77,121,103,118,83,77,80
붕장어,5452,3943,4613,4573,6629,7843,8166,8497,6962,12987,9614,13257,14143,8838,12751,24010,23208,20143,19680,23368,21848,21332,23633,29882,21703,19667,17314,19136,11913,10160,8303,7676,17210,17451,16506,14739,15242,19399,18437,13507,13757,15896,16365,13405,13254,12641,12631,10965,11766,12447,13229,12692,12727,15123
전갱이류,883,8904,2753,2089,1511,6563,7088,5431,3948,6716,565,5520,10837,11539,7354,15702,7018,13916,39745,22969,16586,15923,26533,38095,38433,12269,14542,22766,22132,13552,19510,17537,26037,20454,25513,42608,23227,19089,22752,22087,19305,42853,31098,15072,24005,43362,21620,21294,27050,43053,46207,49692,37761,38681
전어,7861,5205,4354,6072,8940,4945,5866,7850,7159,9156,9668,12348,10171,14119,7304,11716,16150,13886,10423,11297,8525,6770,5603,6760,7370,7931,4908,13836,11349,9511,6366,9120,4717,6518,4313,6264,7315,9873,7187,5826,8282,5766,11002,8695,8795,5473,4612,10562,11523,10564,9261,11204,6650,10107
정어리,101,138,315,3689,194,3555,11154,50299,53829,47177,38282,63068,81985,139763,177896,107776,160725,194352,145870,182540,132354,43964,45707,31285,36707,13539,18560,9041,7595,17142,2207,129,8,18,215,46,0,106,108,47,61,2477,918,3565,335,2911,5208,8187,7271,2218,1139,90,12030,48027
참조기,31765,24554,25352,24947,54130,40056,45456,26156,25084,34754,48843,34477,18330,10133,7711,6872,9644,19835,18703,18575,27890,37387,39664,30902,37212,25173,22894,21769,15011,13490,19630,7938,10941,7098,17570,15272,21428,34221,33200,34033,31931,59226,36840,35279,27621,33254,19271,19398,23274,25741,41039,31562,16400,15117
기타조기류,23408,19230,20024,28836,40170,21147,-,-,-,-,-,9263,30290,19294,21793,20576,17614,13871,13526,12698,14956,19710,23955,19750,24630,20025,19716,13178,12443,14500,7105,2986,3240,2354,2443,3435,6686,3383,3868,2078,1972,1787,1789,2260,2248,1332,616,342,382,506,351,319,556,908
준치,3479,3107,4941,4440,1318,2263,7177,2882,2732,2172,3279,1912,5067,1754,3098,1291,4722,2976,1620,2466,1213,573,282,342,299,466,630,349,381,265,134,40,19,11,16,17,19,18,9,1,0,3,6,20,6,4,2,1,4,41,61,125,472,442
쥐치류,-,-,-,-,-,81394,114671,128098,199920,230298,229230,187625,182356,172732,181008,256528,327516,153588,221728,159104,229522,69744,34146,11364,4382,1755,1772,16318,9364,2999,2891,1578,933,1429,1267,1055,1071,2998,2631,8280,3475,1606,1419,1295,2407,2040,1805,1726,2195,2650,2010,1913,1313,1053
청어,746,6718,6311,3962,114,2386,84,545,497,182,438,254,447,528,497,773,1386,2763,6075,6697,6219,4586,5878,3983,3865,8622,5525,13214,13340,20010,13473,8491,1941,3571,5113,7592,12496,28280,45472,37514,25005,23448,28013,45127,23821,25903,24207,32519,24035,25771,21035,14025,27810,21318
참홍어,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,723,358,320,398,540,358,514,509,700,1287,2054,3121,3182,3596
홍어류,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2545,3438,2074,1850,2227,3127,3223,1764,662,256,211,227,222,259,255,392,375,1208,3254,4131,2925,2123,1651,1874,2349,1998,2087,2269,1977,2063,2428,2647,3119
꼼치류,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4732,4429,3165,4385,4951,5402,5604,4101,3797,4225,4608,5019,4177,4118,3208,3658,4412,3844,3546
기타어류,124948,147551,182656,192359,232209,113838,103134,127491,99681,79453,68574,68507,57571,61488,65668,64894,75844,67532,83251,97370,98436,90733,89230,90778,88446,91183,74172,74721,110197,96782,71335,91781,71691,28767,11990,13986,15655,18247,19767,13419,21043,30495,27618,31529,23069,26159,23483,13972,21023,14720,10110,11939,10266,11768
갑각류,16354,15279,22964,35827,33762,48675,43461,50837,51192,51477,49296,50926,58690,59682,66193,75969,88664,90292,98815,101176,104856,99107,106053,117292,134558,117161,116795,109405,104222,90038,74994,67070,57327,66002,57110,62075,73715,85297,87631,100126,108199,101723,105234,105537,102272,90002,83612,75988,74506,64340,71756,82488,88054,89241
꽃게,2700,4113,5701,9306,10487,13703,11176,16768,16691,18544,19734,22181,19393,17854,25643,23960,30897,30273,31968,28753,23004,18300,17087,10419,21483,17651,15754,11430,13813,11819,12842,13016,18659,9478,2683,3714,6894,13606,17596,31302,33193,26608,26861,30448,25242,16374,11751,12941,11770,12306,15417,19715,21809,27150
대게,247,494,132,355,340,100,9,144,228,155,193,125,73,183,6,14,9,4,10,3,3,2,11,94,98,79,133,815,459,1134,756,1001,896,1889,2605,3240,4062,4817,3019,2372,2606,2567,2318,1868,2412,1915,1572,1789,2162,2134,1740,1971,1943,2063
붉은대게,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24440,31063,33155,37362,38896,33146,22366,16281,12973,9166,19262,23113,21926,23890,25388,28293,29993,30749,32520,36973,38013,38189,41647,36180,29686,20344,15874,15548,21050,24694,31584
민꽃게,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4862,6882,6456,5773,5314,2929,3101,3425,4115,3889,8429,3990,2785,2973,2257,2027
기타게류,2404,3167,3120,4626,2157,4170,4323,7279,10213,8591,5821,8901,9155,7421,11295,13771,15778,15467,19961,21534,28235,32736,28704,16050,25319,24854,23813,19030,10274,11875,9372,9001,6753,6798,8110,10383,10184,8423,4438,2761,2425,2345,1874,2147,2450,2484,2155,1905,1096,1186,2510,2329,1505,1436
꽃새우,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8594,10995,5414,3405,2729,3249,4620,5263,3145,4132,3988,2575,3364,4272,3885,2496,3452,2587,1944,1699,1924,1110,1651,1765,2392,2689,2819,2555,3204,1298,2458
닭새우류,-,-,-,-,-,-,8,728,224,83,5,182,380,97,149,248,193,347,950,151,698,1107,1007,375,565,1242,1121,918,458,485,461,415,391,393,595,742,772,734,554,1111,1093,1151,1303,704,589,615,508,3,3,0,1,5,5,5
대하,457,266,704,3794,3005,5946,793,1977,1059,1315,783,502,1145,396,773,667,1503,683,1080,1220,912,998,968,897,1363,1406,1242,1911,1245,814,1211,582,222,148,848,989,1261,704,259,219,252,52,352,472,650,581,665,359,143,115,77,144,674,675
흰다리새우,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-
보리새우,95,571,810,1749,1962,4299,696,771,3017,382,592,742,771,1336,1236,1844,864,2322,4481,2023,2336,2488,2092,2531,2265,2399,1783,2102,1138,480,578,513,217,240,132,282,215,315,254,297,123,74,59,221,213,76,556,852,543,297,67,92,138,71
젓새우류,6509,2825,4897,9250,6888,13524,10734,13269,5952,8958,7568,8089,13815,16994,9791,13488,15029,16640,11767,21493,22579,16512,29310,24324,18510,16495,18411,15624,15993,19389,13985,11705,7013,12885,7889,7352,7810,12553,14934,13722,18861,20728,20221,18930,18334,11730,16207,12812,13478,12844,19422,19946,24566,13229
중하,606,906,846,1168,2144,1533,2009,1912,2436,3709,2710,1819,1221,1386,2293,2729,3911,3032,2086,2400,3358,6145,4962,3834,4993,2168,2211,1976,3651,3633,2621,2385,1736,325,414,834,980,1010,1646,1048,652,1052,1328,1154,895,560,918,817,1149,2176,1479,1259,1673,1203
가시발새우,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1834,1766
