시점,계,계,경기도,경기도,강원도,강원도,충청남도,충청남도,전라북도,전라북도,전라남도,전라남도,경상북도,경상북도,경상남도,경상남도,제주도,제주도
시점,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어
2002.09,116220,16422,2050,-,5263,52,6096,0,4720,5,14206,651,17429,871,18916,1110,4207,294
2002.1,165803,11738,901,-,3278,64,4724,2,5528,0,24165,382,22178,1091,21840,1624,6470,207
2002.11,139229,40439,521,-,3969,44,3090,11,3348,8,21203,1346,16341,223,19827,3117,4251,520
2002.12,126940,23604,620,-,3468,15,2740,1,3071,10,16404,623,13123,74,26781,3125,3887,453
2003.01,96807,8790,179,-,2737,0,3542,-,2230,3,9474,72,7798,2,23813,615,2253,126
2003.02,58685,3956,119,-,2437,0,4013,0,1842,3,4348,27,3104,2,15180,234,6412,56
2003.03,67019,3862,182,-,3148,-,4379,-,3280,7,7268,25,3906,3,19717,220,1856,68
2003.04,50187,2203,499,-,2636,-,6451,-,5614,8,5673,4,4742,38,8427,16,1869,23
2003.05,61321,1503,682,-,3090,0,10267,-,5831,10,9545,12,4770,12,10234,41,3539,86
2003.06,60932,3892,680,-,3364,0,7815,-,6224,2,13100,5,3958,1,10118,108,4087,176
2003.07,77159,6070,572,-,3050,0,5775,-,5668,4,16359,9,3990,0,24897,1025,3281,375
2003.08,86348,9834,395,-,2997,1,6916,0,6329,1,15055,85,6187,26,25338,1045,3289,531
2003.09,97229,13413,569,-,6680,5,5446,0,7060,0,11847,347,14099,81,14925,1167,5220,216
2003.1,174951,12109,526,-,5217,2,4974,-,6890,0,14575,133,35885,36,27026,2129,4761,261
2003.11,135523,39013,579,-,3223,6,5303,0,5689,0,14086,1208,14206,15,22556,2341,5052,1115
2003.12,130365,17399,385,-,3821,0,4198,-,4170,1,13503,740,19614,2,26596,566,3530,364
2004.01,82921,3735,257,-,2532,3,4107,-,3439,3,8180,31,11110,0,17627,181,2911,248
2004.02,66749,4362,108,-,2100,0,3391,-,2992,2,8219,23,5059,1,18679,126,4211,25
2004.03,59566,2909,228,-,2363,0,3874,-,3076,2,6233,9,4234,0,22351,202,2622,69
2004.04,46556,1477,301,-,1784,0,4573,-,4252,0,7452,5,4339,3,11347,60,1491,19
2004.05,48462,4168,416,-,2863,0,4915,-,5135,-,6089,1,5783,4,9470,39,1929,98
2004.06,58207,1794,422,-,3418,1,6266,-,3509,-,15070,1,5421,5,10113,152,3259,118
2004.07,64001,4014,274,-,2356,1,6001,-,6398,-,11116,39,4295,9,15194,82,3798,102
2004.08,87518,9598,219,-,3417,9,9162,0,4444,6,20500,499,6163,28,17641,832,4052,526
2004.09,113303,23225,290,-,8625,5,7929,0,4287,3,9671,1160,17918,96,19346,2383,4904,264
2004.1,161578,40137,436,-,8055,93,7717,190,4398,0,21091,1406,29343,44,21090,5147,4134,190
2004.11,148434,56099,341,-,4381,35,6607,110,3367,1,16566,888,15503,176,20513,5666,6635,590
2004.12,139392,32756,228,-,4178,10,5515,185,2625,1,14942,1392,21302,104,19323,2639,5765,724
2005.01,94405,12775,794,-,2107,0,2775,3,1408,1,12412,237,9535,9,19068,577,4649,215
2005.02,51002,2347,396,-,1767,0,1800,0,941,0,5804,15,3304,16,13253,21,8673,39
2005.03,76100,3921,506,-,1887,0,2942,0,1349,0,11322,15,4796,9,30605,10,5109,32
2005.04,59117,2406,498,-,1918,0,3368,-,2794,0,11862,9,5417,2,14670,6,4573,12
2005.05,67182,1904,750,-,4967,-,4878,0,3317,-,13999,50,7046,17,17304,266,4617,238
2005.06,84881,14728,678,-,6858,0,3420,-,3384,5,16434,559,8531,0,13002,643,7169,608
2005.07,85985,10818,596,-,3882,0,6823,-,3635,-,15630,410,5624,1,27369,683,4296,349
2005.08,95861,11923,879,-,4330,4,5739,12,3171,-,12416,200,6759,10,30491,1318,5945,420
