시점,연근해어업,갈치,고등어,망치고등어,꽁치,노가리,멸치,명태,방어류,병어류,삼치류,전갱이류,정어리,쥐치류,청어,살오징어(오징어)
2005.10,143849,6518,22429,-,70,-,25834,0,396,1182,4196,5231,-,174,229,44986
2005.11,127139,8752,34763,-,174,-,13424,0,262,1765,5185,2564,-,187,98,22895
2005.12,109788,3250,9811,-,286,-,17889,9,381,812,8086,2323,0,58,1480,32206
2006.01,108311,2920,12207,-,56,-,26817,1,490,1080,5596,4747,0,87,681,20019
2006.02,69266,1797,2309,-,9,-,26898,2,1589,637,3045,2624,-,69,711,3761
2006.03,69296,1736,3700,-,13,-,23848,2,377,658,4546,1893,-,126,2579,740
2006.04,45604,1407,1688,-,25,-,8512,0,131,738,1276,1373,0,64,1004,589
2006.05,59714,1783,2462,-,239,-,9566,0,150,2764,996,2235,0,32,2103,2244
2006.06,67750,2411,2146,-,148,-,10551,0,127,3560,186,3201,-,30,2171,4295
2006.07,71625,2678,1061,-,42,-,34840,0,32,720,273,962,-,34,893,7860
2006.08,95152,9990,4949,-,0,-,36447,0,113,414,610,944,0,47,463,19652
2006.09,117636,10901,14995,-,14,-,26433,53,175,505,2134,618,0,21,50,32697
2006.10,144538,12058,15408,-,24,-,26271,1,305,900,3084,1755,-,58,101,48009
2006.11,120009,9294,19419,-,52,-,14653,1,468,982,4499,1295,-,114,1178,25556
2006.12,139914,6764,21083,-,75,-,20510,0,1116,915,10239,1580,-,389,562,31662
2007.01,114612,4405,8991,-,26,-,24707,0,842,678,8331,1661,9,66,1933,22757
2007.02,71578,1626,3885,-,20,-,20713,35,236,416,6394,1258,1,91,533,7089
2007.03,69944,618,7108,-,54,-,16689,0,494,358,3053,851,5,150,2918,2735
2007.04,65705,1742,8182,-,314,-,8153,0,408,396,3715,1612,86,44,2538,2307
2007.05,59777,2089,712,-,1402,-,10038,0,144,1037,1161,134,-,35,5762,1740
2007.06,66570,3186,4158,-,2174,-,9492,0,75,2075,149,2419,0,42,5376,2877
2007.07,71332,4601,4272,-,144,-,23672,0,75,607,236,2853,0,61,1769,6456
2007.08,80521,12195,7826,-,18,-,22124,0,122,486,765,2853,0,301,1241,6986
2007.09,87265,11566,13093,-,10,-,17504,0,119,704,1044,1727,-,525,703,10210
2007.10,163949,8246,21005,-,236,-,29920,0,648,746,2997,1465,-,689,546,50262
2007.11,147887,10087,43810,-,197,-,12539,0,508,1100,4507,1025,0,603,1528,24500
2007.12,153159,5668,20734,-,145,-,25559,0,2853,886,9847,1231,5,391,3433,36560
2008.01,116661,4075,8275,479,41,-,29217,0,4501,628,7068,1279,-,724,1979,24451
2008.02,58855,1700,1450,20,57,-,15552,0,174,550,3708,262,0,109,1879,4146
2008.03,82575,2726,3046,90,5,-,25568,0,81,532,4953,305,0,114,6852,880
2008.04,59614,3373,1451,26,516,-,7265,0,134,482,1806,373,0,74,7170,793
2008.05,64850,4006,845,171,1900,-,5223,0,245,1387,869,964,-,95,5197,1974
2008.06,64897,4229,4091,57,1679,-,5796,0,549,1445,176,4624,-,81,1426,4088
2008.07,89047,7750,6600,318,182,-,32816,0,92,779,405,6632,-,81,2900,4284
2008.08,83041,6742,10428,2,1,-,32019,0,160,350,420,2350,1,112,2036,3160
2008.09,120447,8662,22741,2,12,-,29432,0,520,452,1677,1670,0,269,1098,16183
2008.10,201145,14391,40191,22,402,-,33397,-,1489,513,3424,1642,99,423,1066,63169
2008.11,174648,8662,53330,52,56,-,21078,0,1113,493,6134,1401,1,404,6142,32275
2008.12,169110,5997,34792,1977,58,-,24169,0,3585,509,10169,1250,7,145,7727,30757
2009.01,109856,3367,13217,1496,12,-,22142,0,6068,371,5920,971,-,131,2075,15365
2009.02,85279,2150,16116,44,33,-,23622,0,1674,263,3542,595,-,120,3273,3458
2009.03,79636,2813,8491,15,5,-,24210,1,916,262,2990,1148,-,108,3062,1038
2009.04,52100,2808,1789,3,275,-,4879,0,659,174,1620,511,3,85,1974,775
2009.05,69449,3858,7812,19,1576,-,5875,0,336,535,929,2827,6,101,4586,1034
2009.06,66640,3421,7151,936,1356,-,4653,0,499,855,98,2624,34,54,3833,3757
2009.07,56902,3808,4236,1204,189,-,14272,0,102,312,212,1193,1,44,5584,3804
2009.08,84913,11316,14900,4098,6,-,17790,0,175,303,725,1868,0,111,329,7239
2009.09,154098,14386,19405,9589,3,-,29326,0,303,669,2803,3167,-,488,1380,24045
2009.10,168791,9257,8007,11784,7,-,22635,0,921,631,5750,3038,0,609,1494,59601
2009.11,142208,13538,9829,12412,41,-,16161,0,1259,720,5266,3024,3,1554,4972,29680
2009.12,157094,14728,7007,15769,47,-,18163,0,1168,834,6938,1121,-,4875,4952,39364
2010.01,113626,9929,5403,1068,139,-,34694,0,4679,795,5233,1353,2,630,888,14784
2010.02,64212,6360,2957,280,52,-,14211,0,1157,356,4439,732,41,1269,284,3204
2010.03,48503,2770,1431,47,1,-,10325,0,443,331,1635,477,1,85,1288,1109
2010.04,48854,1736,498,3,53,-,4551,0,334,182,915,372,1,52,2040,352
2010.05,61696,1361,596,-,568,-,8151,0,112,495,907,694,0,119,2062,480
2010.06,69750,1514,1733,8,1360,-,9592,0,102,906,164,2775,0,128,3196,2201
2010.07,83781,5332,2751,166,36,-,32920,0,103,755,161,2483,0,151,5265,3394
2010.08,73818,8496,4550,161,6,-,28334,0,111,655,558,2293,1,99,2165,5215
2010.09,116399,5983,15218,666,9,-,31898,0,243,1003,2103,3166,-,139,439,19295
2010.10,193084,5824,38433,2001,38,-,30097,0,1224,960,6541,1678,11,197,1248,56971
2010.11,134966,5574,13654,551,166,-,25939,1,4792,1124,8773,2292,4,212,4024,19131
2010.12,123847,4363,7107,252,136,-,18924,0,6168,1309,4349,990,0,394,2106,32994
2011.01,106393,2895,7144,117,76,-,23731,0,3832,631,3111,1177,-,467,1255,26358
2011.02,61758,929,6182,5,6,-,19596,0,662,237,3966,458,0,117,571,5735
2011.03,73391,2645,5348,8,0,-,28637,0,748,384,1708,200,338,191,2494,1269
2011.04,50876,1443,3538,2,105,-,4495,0,819,335,916,132,18,70,3955,321
2011.05,63236,783,1046,0,560,-,9031,1,302,636,712,702,2,115,3910,1021
2011.06,68462,1850,1982,-,1555,-,13037,0,953,1462,145,1382,190,80,4656,3309
2011.07,61850,2302,2721,3,223,-,26536,0,134,832,246,2196,0,66,3031,2948
2011.08,85278,4547,9984,50,1,-,35582,0,207,486,843,2086,1,54,171,5046
2011.09,128493,5173,21272,930,10,-,29899,0,230,437,1890,9483,42,96,222,10217
2011.10,195334,4442,42917,1030,47,-,34817,0,944,435,5505,2549,5,116,554,42666
2011.11,163512,3830,13342,8579,22,-,44627,0,669,248,6969,2568,81,134,948,27730
2011.12,176906,2262,23253,1123,86,-,22742,0,435,477,3283,19920,1800,100,1681,45023
2012.01,141948,1879,25099,1758,26,-,27112,0,1086,208,3415,1341,197,116,3486,34601
2012.02,74017,1205,5117,64,184,-,21208,0,135,189,2355,7318,298,102,1545,9466
2012.03,67464,2113,3702,1,132,-,13939,0,46,82,1453,9280,346,90,4403,748
2012.04,45279,660,954,-,231,-,3587,0,37,96,786,1194,6,96,5645,134
2012.05,64838,945,2272,0,871,-,11685,0,525,511,999,2074,10,93,4039,1290
2012.06,52572,1715,3019,-,934,-,9108,0,245,872,121,1137,1,54,1404,2213
2012.07,60082,2687,8136,-,17,-,23262,0,204,459,355,1955,-,41,955,3710
2012.08,45855,3494,9080,25,0,-,14413,0,246,345,481,864,0,54,300,2809
2012.09,94911,6466,10939,133,4,-,19599,0,491,451,2659,1549,0,225,190,11584
2012.10,170127,4501,15980,654,5,-,29556,0,1514,782,7601,1061,0,246,1083,55110
2012.11,124629,4445,14200,610,19,-,22757,0,1325,572,7874,1612,23,201,1032,23438
2012.12,149313,2417,26646,78,9,-,25754,0,3169,419,5278,1713,36,102,3931,36304
2013.01,106290,1775,18170,1540,20,-,21080,0,1102,368,4527,3036,53,243,2070,18490
2013.02,51022,1082,1671,9,37,-,14569,0,212,139,2571,264,0,129,2647,3413
2013.03,54717,991,2076,9,157,-,14858,0,315,138,990,340,3026,96,2399,1219
2013.04,48184,987,1042,13,665,-,5414,0,594,186,1777,820,8,104,3479,337
2013.05,55242,809,460,0,1150,-,6377,0,291,786,875,457,0,98,3953,936
2013.06,52688,1077,2149,2,854,-,6245,0,504,1738,142,905,277,41,3924,2812
2013.07,66459,3737,4976,219,145,-,26875,0,91,431,170,2396,154,32,5793,3405
2013.08,69129,6702,10682,682,2,-,19935,0,162,269,715,1829,7,34,2265,6943
2013.09,108483,9110,16515,3397,68,-,23927,0,313,281,2682,1467,0,89,1218,13286
2013.10,137241,7501,7786,3657,13,-,27577,0,1110,411,5099,802,1,122,664,36110
2013.11,128741,7069,14078,1434,120,-,16604,0,2861,387,5617,1761,25,204,1415,28303
2013.12,166502,6261,22510,1694,69,-,25640,0,6070,252,4229,994,12,104,15301,39303
2014.01,110148,4926,6479,133,23,-,24546,0,1319,263,3107,1716,119,147,1068,30991
2014.02,46533,2084,3783,171,16,-,9320,0,296,75,2053,1129,27,62,499,2568
2014.03,58753,4017,3057,33,39,-,13998,1,480,81,1392,890,65,119,3332,760
2014.04,52160,3963,1649,71,87,-,6492,1,167,108,979,1013,14,68,3111,225
2014.05,54765,2080,707,15,65,-,7171,0,274,514,590,2069,16,62,2973,285
2014.06,53447,1728,1121,71,16,-,9441,0,295,629,268,3519,7,34,1759,2917
2014.07,64652,3495,4975,705,1,-,27135,0,226,395,310,3324,4,30,2647,2074
2014.08,78197,3415,16920,18,1,-,23513,0,154,229,754,1496,23,48,627,4447
2014.09,111767,6183,14830,35,36,-,28456,0,611,249,3098,3341,38,183,910,14499
2014.10,138943,4783,12313,185,5,-,31419,0,1090,331,6918,2121,11,302,2700,36116
2014.11,131567,6423,29140,601,9,-,18644,0,1518,286,5232,1861,0,1163,920,22678
2014.12,157667,3830,32475,433,22,-,21240,0,4728,260,4834,1527,11,189,3276,46337
2015.01,113943,2176,15605,915,15,-,28286,1,1340,195,3550,2152,93,658,4987,19022
2015.02,60411,1947,7197,319,102,-,14187,1,854,199,3516,1460,128,110,1232,3768
2015.03,82767,1752,14572,139,2,-,21173,1,1194,147,2425,6292,318,388,2923,2307
2015.04,59274,1845,10416,8,38,-,4319,0,452,105,1210,5053,132,126,2662,298
2015.05,47797,205,348,-,217,-,6774,0,208,271,462,1484,1,98,2533,184
2015.06,65964,498,3803,2,156,-,7514,0,188,673,156,11161,248,55,2421,1396
2015.07,59487,2252,6842,58,6,-,18490,0,221,445,307,6908,401,51,967,3920
2015.08,83825,8810,17472,44,0,-,22789,0,187,244,1030,2800,730,37,667,10902
2015.09,107515,7065,12325,1488,1,-,26383,0,304,343,4136,1087,25,74,519,19125
2015.10,121280,5047,13684,1163,12,-,30640,0,903,228,8571,957,0,164,1943,19887
2015.11,115016,5390,15341,581,10,-,18582,0,922,236,6169,1430,1,133,2367,27105
2015.12,141041,4062,14130,4173,13,-,12438,0,2055,227,6340,2578,834,145,2682,47829
2016.01,107098,3568,15198,1227,100,-,16620,0,443,331,4883,2058,4003,171,2028,19759
2016.02,44027,2870,2244,167,2,-,4007,1,1272,176,3593,359,5,134,839,4361
2016.03,47941,2572,3450,292,32,-,8832,2,591,132,1301,869,26,332,1626,947
2016.04,47794,694,5550,49,137,-,3086,0,234,172,1287,2564,295,171,3826,244
2016.05,52547,652,2247,4,463,-,7703,0,367,741,718,881,14,43,4367,673
2016.06,55202,1690,2046,134,99,-,7276,1,426,537,137,2438,441,24,3143,2340
2016.07,53978,1986,5633,329,2,-,19399,1,335,411,198,1948,77,26,1008,3162
2016.08,76914,3223,13531,391,0,-,23431,0,422,196,1266,1630,18,59,1836,12777
2016.09,81608,4008,19168,1869,2,-,13875,0,453,254,2702,2069,2,86,1124,9718
2016.10,101877,3714,19837,4632,6,-,14588,0,1618,550,6337,1917,-,211,999,16746
2016.11,116660,3797,28583,4761,21,-,9932,0,1422,517,8137,3319,11,380,623,20191
2016.12,121932,3558,15713,8388,6,-,12209,0,7058,728,5326,1568,316,169,2790,30773
2017.01,91033,2016,9187,1636,10,-,20542,0,3377,515,2457,1595,1783,892,3521,13596
