date,nino3.4 index,ONI index,nino3.4 수온 평균,nino3.4 수온 평균(3개),nino3.4 수온 평평균,nino3.4 수온 표준편차
1993 04,0.337529,0.413346,28.108767,28.010992,27.771236,0.657626
1993 03,0.228387,0.298756,27.408682,27.505211,27.180296,0.817327
1993 02,0.330351,0.237129,26.998182,27.018042,26.667831,1.007264
1993 01,0.15265,0.2103,26.647259,26.790058,26.494608,1.164648
1992 12,0.147898,0.03693,26.724737,26.646175,26.576839,1.219633
1992 11,-0.189757,-0.18991,26.566534,26.48745,26.75629,1.177667
1992 10,-0.52787,-0.296394,26.17108,26.420443,26.69895,1.01164
1992 09,-0.171554,-0.264197,26.523712,26.478985,26.695267,0.834961
1992 08,-0.093166,-0.040683,26.742163,26.884054,26.835327,0.818931
1992 07,0.142671,0.150998,27.38629,27.398935,27.243618,0.677102
1992 06,0.40349,0.494164,28.068354,28.077461,27.664865,0.627709
1992 05,0.93633,0.793519,28.777739,28.552689,27.841408,0.614643
1992 04,1.040736,1.063811,28.811974,28.661457,27.771236,0.657626
1992 03,1.214367,1.292591,28.394663,28.499044,27.180296,0.817327
1992 02,1.62267,1.527103,28.290501,28.308014,26.667831,1.007264
1992 01,1.744271,1.640689,28.238878,28.220448,26.494608,1.164648
1991 12,1.555125,1.403674,28.131964,28.01292,26.576839,1.219633
1991 11,0.911624,1.040278,27.667915,27.717638,26.75629,1.177667
1991 10,0.654084,0.623035,27.353033,27.33987,26.69895,1.01164
1991 09,0.303397,0.527413,26.998665,27.270594,26.695267,0.834961
1991 08,0.624758,0.471322,27.460087,27.396059,26.835327,0.818931
1991 07,0.48581,0.505741,27.729427,27.753677,27.243618,0.677102
1991 06,0.406655,0.385241,28.07152,27.968538,27.664865,0.627709
1991 05,0.263259,0.25214,28.104668,28.011309,27.841408,0.614643
1991 04,0.086505,0.089829,27.857742,27.687475,27.771236,0.657626
1991 03,-0.080278,0.052311,27.100018,27.258766,27.180296,0.817327
1991 02,0.150707,0.139541,26.818539,26.920452,26.667831,1.007264
1991 01,0.348193,0.240904,26.8428,26.820663,26.494608,1.164648
1990 12,0.223811,0.156152,26.800652,26.765398,26.576839,1.219633
1990 11,-0.103549,0.10312,26.652742,26.780479,26.75629,1.177667
1990 10,0.189098,0.016714,26.888046,26.733549,26.69895,1.01164
1990 09,-0.035407,0.087229,26.659861,26.83041,26.695267,0.834961
1990 08,0.107995,0.022338,26.943323,26.947077,26.835327,0.818931
1990 07,-0.005574,-0.056243,27.238045,27.191694,27.243618,0.677102
1990 06,-0.271149,-0.074827,27.393717,27.508471,27.664865,0.627709
1990 05,0.052243,-0.093649,27.89365,27.665522,27.841408,0.614643
1990 04,-0.062041,-0.062246,27.709196,27.5354,27.771236,0.657626
1990 03,-0.176939,-0.073319,27.003357,27.133135,27.180296,0.817327
1990 02,0.019022,-0.085469,26.686853,26.695442,26.667831,1.007264
1990 01,-0.09849,-0.088772,26.396118,26.490988,26.494608,1.164648
1989 12,-0.18685,-0.304237,26.38999,26.30501,26.576839,1.219633
1989 11,-0.62737,-0.456851,26.128922,26.220509,26.75629,1.177667
1989 10,-0.556332,-0.561165,26.142616,26.15567,26.69895,1.01164
1989 09,-0.499792,-0.587813,26.195477,26.155369,26.695267,0.834961
1989 08,-0.707315,-0.589829,26.128014,26.334909,26.835327,0.818931
1989 07,-0.56238,-0.647845,26.681238,26.600092,27.243618,0.677102
1989 06,-0.673839,-0.717526,26.991026,26.86577,27.664865,0.627709
1989 05,-0.916358,-0.983333,26.925049,26.775837,27.841408,0.614643
1989 04,-1.359801,-1.2532,26.411436,26.344446,27.771236,0.657626
1989 03,-1.483442,-1.448993,25.696854,25.757462,27.180296,0.817327
1989 02,-1.503736,-1.677795,25.164095,25.103117,26.667831,1.007264
1989 01,-2.046206,-1.871339,24.448402,24.708422,26.494608,1.164648
1988 12,-2.064074,-2.132596,24.512766,24.47665,26.576839,1.219633
1988 11,-2.287509,-2.143547,24.468782,24.533813,26.75629,1.177667
1988 10,-2.079057,-1.769194,24.619892,24.947641,26.69895,1.01164
1988 09,-0.941017,-1.495719,25.754251,25.247461,26.695267,0.834961
1988 08,-1.467084,-1.399843,25.368244,25.524895,26.835327,0.818931
1988 07,-1.79143,-1.681087,25.452188,25.566849,27.243618,0.677102
1988 06,-1.784749,-1.669386,25.880116,25.913912,27.664865,0.627709
1988 05,-1.431978,-1.27105,26.40943,26.488119,27.841408,0.614643
1988 04,-0.596424,-0.662022,27.174812,26.935623,27.771236,0.657626
1988 03,0.042336,-0.112943,27.222631,27.093512,27.180296,0.817327
1988 02,0.21526,0.311417,26.883091,27.092327,26.667831,1.007264
1988 01,0.676654,0.552569,27.171263,27.132328,26.494608,1.164648
1987 12,0.765793,0.763732,27.342632,27.372978,26.576839,1.219633
1987 11,0.848749,0.866352,27.605042,27.543711,26.75629,1.177667
1987 10,0.984513,1.060993,27.683462,27.777828,26.69895,1.01164
1987 09,1.349717,1.190651,28.044985,27.933832,26.695267,0.834961
1987 08,1.237723,1.224018,28.073051,28.148756,26.835327,0.818931
1987 07,1.084614,1.029134,28.328232,28.277071,27.243618,0.677102
1987 06,0.765065,0.72952,28.42993,28.312817,27.664865,0.627709
1987 05,0.338882,0.523962,28.180288,28.283131,27.841408,0.614643
1987 04,0.467939,0.576657,28.239176,28.174303,27.771236,0.657626
1987 03,0.92315,0.747801,28.103443,27.954256,27.180296,0.817327
1987 02,0.852316,0.921276,27.520147,27.702187,26.667831,1.007264
1987 01,0.988363,0.89943,27.482971,27.479191,26.494608,1.164648
1986 12,0.857613,0.80128,27.434452,27.410526,26.576839,1.219633
1986 11,0.557866,0.653262,27.314157,27.330622,26.75629,1.177667
1986 10,0.544307,0.511128,27.243256,27.227964,26.69895,1.01164
1986 09,0.431212,0.398948,27.126478,27.14213,26.695267,0.834961
1986 08,0.221324,0.208344,27.056652,27.133081,26.835327,0.818931
1986 07,-0.027505,-0.046708,27.216112,27.201229,27.243618,0.677102
1986 06,-0.333944,-0.31423,27.330921,27.269066,27.664865,0.627709
1986 05,-0.581242,-0.483146,27.260166,27.276024,27.841408,0.614643
1986 04,-0.534251,-0.575721,27.236986,27.021925,27.771236,0.657626
1986 03,-0.61167,-0.651965,26.568624,26.554489,27.180296,0.817327
1986 02,-0.809973,-0.716325,25.857859,26.064587,26.667831,1.007264
1986 01,-0.727331,-0.708658,25.767277,25.871101,26.494608,1.164648
1985 12,-0.58867,-0.63217,25.988169,25.977076,26.576839,1.219633
1985 11,-0.580508,-0.639783,26.175783,26.037577,26.75629,1.177667
1985 10,-0.750171,-0.708026,25.948778,26.00881,26.69895,1.01164
1985 09,-0.793399,-0.726078,25.901869,26.017103,26.695267,0.834961
1985 08,-0.634664,-0.743991,26.200665,26.180746,26.835327,0.818931
1985 07,-0.803909,-0.84809,26.439709,26.399845,27.243618,0.677102
1985 06,-1.105699,-1.006268,26.559166,26.577028,27.664865,0.627709
1985 05,-1.109197,-1.11893,26.73221,26.64024,27.841408,0.614643
1985 04,-1.141895,-1.053069,26.629341,26.544579,27.771236,0.657626
1985 03,-0.908114,-0.996926,26.272181,26.209528,27.180296,0.817327
1985 02,-0.940769,-1.060456,25.727062,25.720455,26.667831,1.007264
1985 01,-1.332486,-1.26982,25.162123,25.30994,26.494608,1.164648
1984 12,-1.536204,-1.413795,25.040636,25.195452,26.576839,1.219633
1984 11,-1.372697,-1.22787,25.383595,25.44949,26.75629,1.177667
1984 10,-0.77471,-0.856427,25.924238,25.860409,26.69895,1.01164
1984 09,-0.421875,-0.58062,26.273392,26.162561,26.695267,0.834961
1984 08,-0.545274,-0.558384,26.290054,26.366354,26.835327,0.818931
1984 07,-0.708003,-0.779492,26.535616,26.468445,27.243618,0.677102
1984 06,-1.085199,-0.83652,26.579666,26.746777,27.664865,0.627709
1984 05,-0.716357,-0.781637,27.125051,26.977531,27.841408,0.614643
1984 04,-0.543356,-0.600622,27.22788,26.997025,27.771236,0.657626
1984 03,-0.542153,-0.414138,26.638142,26.792316,27.180296,0.817327
1984 02,-0.156905,-0.568359,26.510925,26.212551,26.667831,1.007264
1984 01,-1.00602,-0.796868,25.488588,25.78289,26.494608,1.164648
1983 12,-1.22768,-1.203768,25.349159,25.405479,26.576839,1.219633
1983 11,-1.377603,-1.229252,25.378689,25.448109,26.75629,1.177667
1983 10,-1.082472,-0.962588,25.616476,25.754248,26.69895,1.01164
1983 09,-0.427689,-0.666702,26.267578,26.076481,26.695267,0.834961
1983 08,-0.489944,-0.434771,26.345385,26.489965,26.835327,0.818931
1983 07,-0.386681,-0.139156,26.856937,27.108782,27.243618,0.677102
