시점,연근해어업,갈치,고등어,망치고등어,꽁치,노가리,멸치,명태,방어류,병어류,삼치류,전갱이류,정어리,쥐치류,청어,살오징어(오징어)
1998.08,167634330,29402036,12942050,-,4717,-,25240230,500751,650684,1648917,1107502,2929986,1150076,1445584,41341,22010036
1998.09,249531345,32480450,19215492,-,1816,-,21603881,1166257,1159550,3272309,2036197,2718449,481377,1920629,111073,54194216
1998.10,246604962,16138720,13702251,-,3317,-,30841766,259532,1876772,1922106,4734650,606319,47463,2763131,503069,51999974
1998.11,295552901,21359213,13062026,-,122615,-,22708706,501061,4890158,3215118,8951682,2233228,48969,2450029,868205,46358676
1998.12,288250321,16760366,38049338,-,832916,-,17327783,616673,2888263,3631080,12309403,447827,265773,1013593,468586,55023059
1999.01,192512700,10792622,17498375,-,1406863,-,11693545,84785,979055,3851614,7222115,322580,2473731,2013072,2232463,25462880
1999.02,121892232,3493664,5008692,-,618530,-,5398821,494864,2544546,2698167,2946805,205869,339573,700459,4600336,10018730
1999.03,137317571,3569743,4783782,-,749985,-,8251258,1979337,998822,3731625,1911030,595015,1643554,267224,2661134,5245557
1999.04,152785992,4793298,5252900,-,1527611,-,5077948,1235505,766575,3253949,2030681,534503,1125686,486852,443228,5155990
1999.05,164967113,4875170,6818637,-,3459515,-,11304726,226257,800487,4106966,1449958,962590,200236,796283,284970,4846366
1999.06,165839850,10463428,10354624,-,2334896,-,11553954,457496,568088,5866786,262338,2215348,7267,299516,148969,8073220
1999.07,148129855,18156772,12940610,-,122750,-,18869145,334227,135111,2356212,147236,1556244,61754,286970,117874,14484234
1999.08,167375181,17941378,11609217,-,140,-,26914108,138947,803529,2291956,919053,1039971,977,760656,110816,36470511
1999.09,208679987,17520566,16233651,-,360,-,16479804,92133,1090879,2330250,1822006,759456,13412,1468566,139237,45376236
1999.10,316488228,21256228,19913693,-,47864,-,20992894,6603,3081493,2242801,3820037,639068,12293,2468810,135712,94990585
1999.11,264983246,25721603,12869020,-,1167469,-,11385555,4873,3685610,2899357,7498335,1988937,33437,2165256,152197,53361830
1999.12,239047581,15856643,28260276,-,2327015,-,5728245,3068,2252859,4160621,9155043,586037,40534,836067,184733,47129980
2000.01,174646490,8674794,14699964,-,2394890,-,13784293,878200,1450877,4315627,8649201,842136,94596,1770057,1856626,17579145
2000.02,111952978,4502183,6510827,-,972874,-,5603531,402043,1467556,1983515,2322280,525034,359836,920237,6488233,6141799
2000.03,140805045,8230184,7416942,-,1290811,-,7845970,908321,923602,2857991,3359658,961309,11125,487766,576598,3287963
2000.04,148233052,6055044,8338141,-,3051435,-,3110256,575700,222014,1557856,1855049,1449776,347715,415046,830363,2617932
2000.05,173210005,7514822,4812511,-,9259588,-,8206573,237830,1787751,1481657,1057540,2635912,45251,822338,261487,6369856
2000.06,166464813,13418487,10540127,-,5176677,-,9356790,180744,539287,2957148,230372,2397774,5714,352323,199222,10033343
2000.07,137265448,22749874,10464610,-,713173,-,18096837,72620,348081,1155019,123205,1752231,1358,256404,115906,11175951
2000.08,181436760,31664971,18322346,-,40357,-,24664910,57866,681233,1104681,1001285,649746,672,297961,104499,21658199
2000.09,220416408,23941229,14071450,-,55690,-,24605350,32811,1133818,1261358,2607852,1123402,2735,602102,95006,39391306
2000.10,327965467,28285436,11568559,-,34500,-,31793969,4372,2026043,1779854,4816067,1446939,1502,1221279,118818,80891106
2000.11,297146118,29105182,26236497,-,1538855,-,33606046,118514,1245946,2834500,8536391,1612664,2199,935356,137473,35886288
2000.12,249940805,19565282,15789126,-,1482153,-,22603160,115717,2452054,3498922,10263928,1005827,2328,854861,705362,44561930
2001.01,151855170,10758027,11405764,-,509748,-,13098446,293417,1180407,3555587,4916144,683071,17858,702739,4813830,21744504
2001.02,129164709,8300620,8574166,-,387055,-,13096432,150641,1457920,2146621,5320989,881000,6180,268077,3163842,5496915
2001.03,156779761,12544308,7976543,-,766662,-,25335870,15809,644791,2422808,2860681,1387047,49570,230110,764150,1730238
2001.04,159498636,10204405,8306036,-,1258099,-,7515278,3302,418831,2350928,2437874,923852,33870,364835,490540,2567535
2001.05,178158727,12490722,6906880,-,2097510,-,11461657,30100,1468440,5502939,1261096,1606064,3041,426599,230227,6850362
2001.06,164114309,19478812,6559925,-,1858563,-,12247376,75400,703816,4493055,408021,3618132,172,188637,138153,9995494
2001.07,183061690,32227569,10791311,-,146231,-,43070604,3858,392716,1275629,497328,4392007,375,170622,101180,14852510
2001.08,203711997,34866297,21789335,-,1787,-,42492299,2540,779055,1235483,1691940,899284,-,341602,69466,28179419
2001.09,276706319,35168471,18743788,-,735,-,49002522,290,1002281,2528372,3106062,755135,-,580774,89466,44896377
2001.10,304195086,18102283,22462679,-,118421,-,53483606,21611,2508930,1345735,5151186,355211,2266,2086340,35909,61687762
2001.11,272621891,28408064,31479750,-,1074235,-,17959809,15247,2563393,2763899,8333772,844865,96,1857008,16915,30935935
2001.12,288440427,22125418,28374662,-,1509682,-,14406992,6136,2812888,2599850,12809496,1092061,2266,1666969,37316,54304375
2002.01,199417631,13411327,14019885,-,983992,-,22244161,285433,1988158,3065818,6846459,779763,-,802574,327408,35147226
2002.02,150947925,17582453,7493025,-,170392,-,16106498,899918,1269011,1965649,5360207,881834,5960,408578,1089848,5859545
2002.03,161860214,15536150,7291305,-,539867,-,16690026,173253,391832,2573077,4272443,924271,-,281963,524268,2011483
2002.04,146885035,9416901,6211705,-,1732785,-,4499465,5757,175307,2016320,1874260,2626647,-,384708,550289,1947133
2002.05,168499385,9536890,3553150,-,4000045,-,8711409,7400,1006807,2908893,1238152,2614615,-,446542,334647,6280580
